HomeTeam,HomeScore,AwayTeam,AwayScore
Bates,1,Fletcher,0
Bates,1,Gifford,0
Bates,1,Gates,0
Bates,1,Sanders,0
Bates,1,Field,0
Bates,1,Pinegar,0
Crook,1,Dixon,0
Field,1,Curtin,0
Fletcher,1,Dixon,0
Larsen,1,Gardner,0
Larsen,1,Schram,0
Noel,1,Wake,0
Noel,1,Culbertson,0
Pinegar,1,Bates,0
Pinegar,1,Sanders,0
Pinegar,1,Crook,0
Pinegar,1,Fletcher,0
Pinegar,1,Noel,0
Pinegar,1,Bates,0
Sanders,1,Larsen,0
Sanders,1,Carter,0
Sanders,1,Noel,0
Schram,1,Culbertson,0
Wake,1,Schram,0
Wake,1,Larsen,0
Wake,1,Crook,0
